variable,scenario,region,heating_fuel,management,no_replacement,replacement
stock,BAU w/ HPWH,KY,distillate,0.214285714,0.214285714,0.571428571
stock,BAU w/ HPWH,KY,natural gas,0.179543459,0.315188762,0.505267779
stock,BAU w/ HPWH,KY,other fuel,0,0,1
stock,BAU w/ HPWH,KY,propane,0.180272109,0.346938776,0.472789116
stock,BAU w/ HPWH,KY,wood,0.213114754,0.409836066,0.37704918
stock,BAU w/ HPWH,LA,electricity,0.216791045,0.723880597,0.059328358
stock,BAU w/ HPWH,LA,distillate,0,0,1
stock,BAU w/ HPWH,LA,natural gas,0.336270872,0.340909091,0.322820037
stock,BAU w/ HPWH,LA,other fuel,0,1,0
stock,BAU w/ HPWH,LA,propane,0.285714286,0.464285714,0.25
stock,BAU w/ HPWH,LA,wood,0.5,0.25,0.25
stock,BAU w/ HPWH,MA,electricity,0.111111111,0.723809524,0.165079365
stock,BAU w/ HPWH,MA,distillate,0.164359089,0.309513176,0.526127736
stock,BAU w/ HPWH,MA,natural gas,0.234465086,0.222934017,0.542600897
stock,BAU w/ HPWH,MA,other fuel,0.289473684,0.368421053,0.342105263
stock,BAU w/ HPWH,MA,propane,0.223744292,0.305936073,0.470319635
stock,BAU w/ HPWH,MA,wood,0.25,0.26,0.49
stock,BAU w/ HPWH,MD,electricity,0.1796875,0.750411184,0.069901316
stock,BAU w/ HPWH,MD,distillate,0.170798898,0.320936639,0.508264463
stock,BAU w/ HPWH,MD,natural gas,0.232010326,0.329783801,0.438205873
stock,BAU w/ HPWH,MD,other fuel,0.230769231,0.423076923,0.346153846
stock,BAU w/ HPWH,MD,propane,0.234513274,0.39380531,0.371681416
stock,BAU w/ HPWH,MD,wood,0.166666667,0.388888889,0.444444444
stock,BAU w/ HPWH,ME,electricity,0.136363636,0.659090909,0.204545455
stock,BAU w/ HPWH,ME,distillate,0.164410058,0.328820116,0.506769826
stock,BAU w/ HPWH,ME,natural gas,0.196428571,0.267857143,0.535714286
stock,BAU w/ HPWH,ME,other fuel,0.185185185,0.333333333,0.481481481
stock,BAU w/ HPWH,ME,propane,0.196721311,0.327868852,0.475409836
stock,BAU w/ HPWH,ME,wood,0.203703704,0.333333333,0.462962963
stock,BAU w/ HPWH,MI,electricity,0.173669468,0.62745098,0.198879552
stock,BAU w/ HPWH,MI,distillate,0.163793103,0.198275862,0.637931034
stock,BAU w/ HPWH,MI,natural gas,0.225377644,0.209466264,0.565156093
stock,BAU w/ HPWH,MI,other fuel,0.258064516,0.290322581,0.451612903
stock,BAU w/ HPWH,MI,propane,0.21886121,0.269572954,0.511565836
stock,BAU w/ HPWH,MI,wood,0.183783784,0.240540541,0.575675676
stock,BAU w/ HPWH,MN,electricity,0.134863702,0.50071736,0.364418938
stock,BAU w/ HPWH,MN,distillate,0.053763441,0.043010753,0.903225806
