ENDUSE	CDIV	BLDG	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
CL	5	10	0.0428	0.1741	0.2449	0.2538	-0.0047	0.0028	0.0529	0.0855	0.0	0.0	0.0793	0.0686
CL	5	11	0.041	0.1275	0.1319	0.1311	-0.003	0.0664	0.026	0.1259	-0.0046	0.0	0.0747	0.283
CL	5	12	0.041	0.1275	0.1319	0.1311	-0.003	0.0664	0.026	0.1259	-0.0046	0.0	0.0747	0.283
HT	6	1	0.2192	-0.0732	0.1346	0.207	0.284	-0.0735	-0.0439	-0.0097	0.1055	0.0	-0.0868	0.3368
HT	6	2	0.192	-0.0589	0.1252	0.141	0.2514	-0.095	-0.04	0.0001	0.0396	0.0	-0.0479	0.4926
HT	6	3	0.0474	-0.0083	0.013	0.037	0.0394	-0.0248	-0.0349	0.3892	0.4889	0.0	-0.0444	0.0974
HT	6	4	0.0667	-0.0138	0.0676	0.0734	0.0742	-0.0294	-0.0581	0.0865	0.2115	0.0	-0.0336	0.555
HT	6	5	0.1771	-0.0347	0.211	0.1194	0.1908	-0.0444	-0.0408	-0.1419	0.0047	0.0	-0.0689	0.6277
HT	6	6	0.289	-0.0615	0.1323	0.1494	0.4957	-0.0749	-0.0521	-0.081	0.0799	0.0	-0.0762	0.1993
HT	6	7	0.2605	-0.0591	0.0779	0.0581	0.1375	-0.0315	-0.0345	-0.1072	0.0	0.0	-0.0422	0.7405
HT	6	8	0.3475	-0.1291	0.253	0.3351	0.5353	-0.075	-0.0481	-0.2909	0.0	0.0	-0.1284	0.2005
HT	6	9	0.18	-0.0554	0.0936	0.1845	0.1623	-0.0687	-0.045	0.1049	0.1792	0.0	-0.088	0.3527
HT	6	10	0.3141	-0.0931	0.3457	0.3764	0.3887	-0.0029	-0.1794	-0.1083	0.0	0.0	-0.1085	0.0675
