End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25898708,0,0,0.410942168,0,0,0,0.330070752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0.299885209,0.1785658,0,0,0,0,0,0,0.185495353,0,0,0,0,0,0,0,0,0,0,0,0,0.271125647,0,0,0,0,0,0,0,0,0,0,0,0,0.064927991,0,0,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0.105308197,0,0,0,0.209865042,0,0,0,0,0,0,0.104847262,0.471546849,0,0,0,0.010947572,0.078470063,0,0,0,0,0,0,0,0,0,0,0,0.019015015,0,0,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0.005158144,0.008774177,0.476734186,0.146456759,0,0,0,0,0,0,0,0,0.054187586,0,0,0,0,0,0,0.131818564,0,0,0,0,0,0,0,0,0,0,0,0,0.080925703,0,0,0,0,0.081358524,0,0,0,0.014586357,0,0,0
cooling,6,0.315510897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175779321,0,0,0,0,0,0,0,0.198410661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310299121,0,0,0,0,0,0,0,0,0,0
cooling,7,0,0.067841381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13767913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093692542,0,0,0,0,0,0,0.700786947,0,0,0,0,0,0,0,0,0
cooling,8,0,0,0.616652919,0,0.069876973,0,0,0,0,0,0,0.019614985,0,0,0,0,0,0,0,0,0,0,0,0,0.009468194,0,0,0,0,0,0.059261797,0.171263004,0,0,0,0,0,0,0,0,0,0,0.048857349,0,0,0,0,0,0.005004779,0,0
cooling,9,0,0,0,0.889789035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030803816,0,0,0,0,0,0,0,0,0,0.04773386,0,0,0,0.013027502,0.018645789
water heating,1,0,0,0,0,0,0.248002557,0,0,0,0,0,0,0,0,0,0,0,0.392367794,0,0.137108347,0,0,0,0,0,0,0,0,0.107027759,0,0,0,0,0,0,0,0,0.057852044,0,0,0,0,0,0,0.057641499,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150002325,0,0,0.414250611,0,0,0,0.435747063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.202260111,0.173400609,0,0,0,0,0,0,0.187373754,0,0,0,0,0,0,0,0,0,0,0,0,0.28231708,0,0,0,0,0,0,0,0,0,0,0,0,0.154648445,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.138621065,0,0,0,0.115359232,0,0,0,0,0,0,0.24092942,0.312343371,0,0,0,0.049147669,0.098406724,0,0,0,0,0,0,0,0,0,0,0,0.045192519,0,0,0,0,0,0,0,0,0,0,0
